id;permission_id;rule_name;rule_column;rule_c_onditions;rule_value;status;create_by;create_time;update_by;update_time;tenant_id
cc9b5194-a97e-412d-ab6a-0004c1b180d9;deposit Coves to;Alaska Seychelles bypassing;Buckinghamshire instruction olive;Wall Wooden SDD;Refined;78160;utilize;2022-09-26;Metal;2022-09-26;Usability
9bd46c2c-5b76-44ba-8eda-4525e89ded14;Specialist;repurpose;compressing Maine navigating;action-items;seize Rhode;51827;California;2022-09-26;demand-driven;2022-09-26;Pre-emptive 6th
e6f67a57-aa23-4462-b94e-19e475d7f96b;parsing;Industrial Games Car;Architect;Senior Quality;Intelligent functionalities;75613;Account;2022-09-26;Dalasi Cambridgeshire Pizza;2022-09-26;Peso Home
96ee26d0-8b92-4f71-bd9b-340e07a4f946;Beauty;metrics Plaza Plastic;Regional;Illinois seamless Cheese;methodologies Quetzal bluetooth;12346;Health content-based GB;2022-09-26;mint embrace;2022-09-26;Baby
a1a89b4a-c533-4aea-887e-aabecb3eb08c;HDD bricks-and-clicks North;transmit Cross-group;SSL Future;turquoise haptic;invoice Profound;67428;hardware multi-byte Outdoors;2022-09-26;Table;2022-09-26;secondary Jordanian
75f938fc-5727-45c1-812f-08543dcd518b;payment;Ball Shirt;Hat Facilitator;reboot;Lodge;36921;sticky ivory;2022-09-26;group Intuitive driver;2022-09-26;neural Horizontal
fc2406f8-cae7-4ddc-8657-ae77ed85a93b;SAS;up;Pennsylvania Handcrafted;Borders action-items;Re-contextualized;2037;Mauritius;2022-09-26;maximized;2022-09-26;open payment mint
b12b7680-5bce-45ec-b4c6-93a37b25550f;deposit;Argentine deposit;dot-com Loan;engage Team-oriented;Industrial pixel;23698;Industrial;2022-09-26;hour;2022-09-26;Forward
36f5826d-9bac-40b1-ba66-a754bfa725e2;Computers ivory;back Car;Rubber asynchronous;Cotton Computers;Shilling;60335;Pa'anga Kansas;2022-09-26;lime green;2022-09-27;Fish copying
98fd69c9-771c-4f06-9307-5901b32134e9;Supervisor;Angola;Pitcairn Clothing Rubber;Pine;fuchsia maroon;60330;Communications synthesize;2022-09-26;secondary deploy Product;2022-09-26;tan Frozen
