id;depart_id;role_name;role_code;description;create_by;create_time;update_by;update_time;tenant_id
3a567b6e-e566-4e92-8853-753b4c06dd05;global asynchronous strategize;Handcrafted;Pre-emptive;Small;SSL primary Sandwich;2022-09-26;Small functionalities envisioneer;2022-09-27;digital
579ecaaa-9025-4785-9575-ab4839c5de6f;Administrator interactive Pass;Investor reintermediate;Functionality;Reactive Rubber Cambridgeshire;Guernsey Towels;2022-09-27;compressing User-centric;2022-09-27;optimal
a0051b53-6273-4763-82ef-6e5df253d0bf;access bandwidth partnerships;Garden;Malawi;Ergonomic Market;Bridge;2022-09-27;drive Industrial Fantastic;2022-09-26;generating user-centric
83515dc7-6e34-41e8-88cc-a7e8d35d1951;Cheese;Table hacking IB;Practical;Berkshire Shoes;Summit;2022-09-26;alarm Games;2022-09-26;Diverse
e562aabd-299e-4670-a60d-26dd8b561117;Wooden;copying;quantifying Baby;Organic Fantastic Handmade;navigate TCP JSON;2022-09-27;Virginia;2022-09-26;full-range
bfa7a971-f985-411f-856d-2fe9b6e82d69;Rupee Product convergence;Fantastic;database Pizza Berkshire;Metal clicks-and-mortar;Account Checking Borders;2022-09-26;optimizing hard Handcrafted;2022-09-26;withdrawal
7449063a-4813-4f2b-9368-8041501b0080;Ohio;Granite ivory;1080p;Throughway benchmark array;seamless;2022-09-26;infrastructure interface Beauty;2022-09-26;Maine Lead
1e97b249-2636-48cb-85e5-db3851f4201a;reboot Architect;Baby;Fresh Bike payment;pixel functionalities yellow;transmit syndicate;2022-09-26;intermediate Bedfordshire;2022-09-27;Oklahoma Seamless
d1c82578-d9f8-4ad4-b1a8-af394f81fd5e;indexing;Netherlands;paradigms encoding navigate;Bedfordshire;Developer;2022-09-27;payment Norwegian;2022-09-26;networks
725d7ed3-241d-4dcd-8098-af168f087f2b;Wyoming;Gorgeous;transmitter functionalities;experiences generate incremental;cross-platform value-added;2022-09-27;Republic compress;2022-09-26;Games Palau Mobility
