id;role_id;permission_id;data_rule_ids;operate_date;operate_ip
19a4bbed-28a9-49ec-9e95-d86a7a07915b;matrix Arkansas;Cotton;Jewelery Gorgeous;2022-09-26;withdrawal value-added array
28b0c17f-6a8e-4636-8d06-40eb743c94c8;online Self-enabling;Optimized ADP navigating;Computer;2022-09-26;Outlying Pa'anga Product
b29446c8-615b-4dc2-98a5-197f9fc7e832;Orchard reboot object-oriented;Account monitor;neutral cross-platform Table;2022-09-26;payment
beb5fd74-87a0-476d-85d0-6082e3101ee0;Plastic;silver;Benin;2022-09-26;purple Cross-platform Books
70769cd0-5197-4396-ba96-d48fd64b9fec;bandwidth;XSS;blockchains Legacy;2022-09-26;override programming Bike
48e8bd83-76b2-4025-b82d-454400d7264d;encryption Tuna bypassing;Forge;Representative Chair;2022-09-26;Shoes
efcaa86f-7a65-4d69-8ef5-436f26ff8f06;National;frictionless synthesize e-services;Wooden;2022-09-26;Metal
cc96f991-517a-4fa6-9d3d-730a295ecbd2;Frozen intangible array;Small;Kwanza Kids transmitting;2022-09-27;Personal
fce4f1b5-e305-4b26-baa7-679a7970b0e5;Generic Focused;Pakistan open-source;withdrawal e-business maximize;2022-09-27;Illinois Coordinator
85956c1e-49a7-4b8c-966e-0476e75a8e9f;CSS system;Administrator Bedfordshire;SMS;2022-09-26;empower Berkshire Avon
