id;role_code;url;component;is_route;priority;status;create_by;create_time;update_by;update_time;tenant_id
8540324b-1a1f-4ec5-b903-6d2b0d8077d3;Applications Ball Computer;https://patrick.biz;Shoes supply-chains applications;false;21945;68172;copying Handcrafted Idaho;2022-09-27;array Multi-tiered;2022-09-26;District
36791e43-fce6-4108-9895-dcbadbb82899;Metal;https://shad.com;Ergonomic overriding;true;65654;6195;cutting-edge;2022-09-26;compress standardization;2022-09-27;Springs
ffdcc5ec-0861-4e46-98ef-46df758699ee;International service-desk;http://donna.com;Applications Sharable Kentucky;false;41798;55181;Zambian Shoes Buckinghamshire;2022-09-27;cultivate parse initiatives;2022-09-26;copying payment
907dc8ab-98f9-4f0a-99e6-5fd8b819de89;Ergonomic Assistant granular;https://keon.net;Metrics capacitor;false;75773;34266;Car;2022-09-27;AI monetize SMS;2022-09-26;system Greece
4cbc63b7-79d7-466e-beb2-f3bf91dfab9f;Group;http://antonietta.com;Innovative Soft Cambridgeshire;false;88158;9874;transmitting Health EXE;2022-09-27;overriding;2022-09-26;FTP
a7570b10-a540-4d95-a339-6e0f9786c861;monitor;https://ilene.name;Visionary;false;51246;68259;Electronics mindshare Executive;2022-09-26;Guernsey Buckinghamshire;2022-09-27;XSS
73da2430-a898-4727-89f7-eacca1bfb5f9;Caribbean fault-tolerant;https://camille.name;navigating 1080p parse;false;9914;97832;Fresh neural Configuration;2022-09-26;Facilitator Account Port;2022-09-26;Account
0e3bb953-5f73-471f-aa60-6b043ebdc4a9;IB;http://soledad.com;transmitting cultivate Interactions;false;98637;82196;Rubber;2022-09-26;value-added impactful Designer;2022-09-27;firewall
4be108b6-8b83-4c5b-b1f0-32ef495f377a;Steel;http://ocie.biz;service-desk;true;83913;32880;copy;2022-09-27;Loan;2022-09-26;extensible Administrator Pizza
3d6f47db-e372-4041-8198-d1bb873e13af;state synergistic Toys;https://macey.name;systematic;true;95029;62409;Senior invoice;2022-09-27;compress Licensed system;2022-09-26;Borders Balboa Mandatory
