id;parent_id;name;url;component;is_route;component_name;redirect;menu_type;perms;perms_type;sort_no;always_show;icon;is_leaf;keep_alive;hidden;hide_tab;description;del_flag;rule_f_lag;create_by;create_time;update_by;update_time;tenant_id;internal_or_external
ce5d0b1e-daa7-4b81-9fbe-e1df6b567316;web-enabled;front-end Branding Program;https://josefa.com;Soft;false;web-readiness Baby;Awesome;77391;Regional;withdrawal Krona cross-platform;Colon;false;infomediaries Frozen;true;false;false;true;Slovenia plum Steel;false;false;microchip;2022-09-27;withdrawal Toys Generic;2022-09-26;Chicken Engineer;true
cf5c9a21-c72f-4e79-8802-b804fffa6c3d;Buckinghamshire;Cedi recontextualize;https://haylee.biz;Granite;true;Gorgeous Games;granular backing;62418;zero Auto facilitate;payment TCP world-class;Plastic sensor;true;Wooden;false;false;true;true;withdrawal Highway;false;false;drive Keyboard Surinam;2022-09-27;Oval revolutionary olive;2022-09-26;Mississippi;true
cfadca36-b276-40f7-b389-481c42d95dbb;withdrawal Granite index;Account Euro array;http://kasandra.name;Configurable Kids;true;transmitting;Avon Fresh;44196;Assimilated navigate Isle;lavender haptic Belize;Lebanon Credit Automotive;true;withdrawal Fantastic;false;false;true;true;client-driven;false;true;Rubber Gorgeous optical;2022-09-26;Keyboard deg Metrics;2022-09-26;driver deploy Metrics;false
5a53041f-86d4-47b2-904a-a5bbe9a26114;Car CSS Generic;hacking transmitting Applications;http://fiona.com;Robust human-resource Borders;true;Small Chips;virtual Bedfordshire next-generation;98411;initiatives;EXE Product;Baby Credit Granite;false;Port Investment;true;true;true;true;Product;true;false;Account Pants;2022-09-27;user-centric;2022-09-27;Games;false
0c11179b-95c5-4771-b56d-bcf41b3562d2;Corporate Cross-group revolutionize;Concrete;https://sydnie.biz;Fantastic;false;microchip;Garden array;30142;Cheese back Balboa;SSL mint;JBOD Cotton executive;false;content-based Saint payment;true;false;false;false;Ohio;true;false;alarm;2022-09-26;overriding Outdoors deliverables;2022-09-26;leading-edge bus Borders;true
9fc8b832-f60c-4622-93f4-c33e04a0287a;primary connecting content;Spurs Oklahoma;http://hershel.name;Pants;false;programming;input;42953;adapter impactful;Arkansas virtual Avenue;SQL Virginia;true;hack Generic;true;false;true;false;Open-architected Central Metal;true;false;maroon Group open-source;2022-09-27;Developer Rustic;2022-09-26;instruction hacking array;true
da65fc27-7cc6-4f36-9656-4e246f7670cf;Falls digital 1080p;Idaho;http://jevon.biz;Product;true;leading-edge index;View;95945;Cheese;methodologies azure Bedfordshire;Tasty overriding gold;true;Indonesia;true;true;true;true;engage Handcrafted;false;true;Cambridgeshire azure Sausages;2022-09-26;impactful Sausages;2022-09-26;deposit enable;true
b55b7706-4758-4ceb-afd6-ded6cba61650;white Health;Sudanese;http://trisha.biz;matrix Facilitator lime;true;Awesome;El Home Music;71693;e-tailers;District;ADP;false;Sports Berkshire;false;false;true;false;payment;false;false;virtual index;2022-09-27;Berkshire Toys;2022-09-26;Checking supply-chains;true
35b3b662-1513-4dab-9f52-b5b8adc868b0;Georgia;Tasty;https://logan.biz;withdrawal infomediaries withdrawal;true;sexy;Garden;804;Assistant;Assurance Communications;Ergonomic Division proactive;true;Pa'anga adapter;true;false;true;false;Manager Future;true;true;Plain Home;2022-09-26;Pa'anga;2022-09-26;Progressive Refined;true
f9565f6d-6c2f-44ab-9c67-cd57722f347a;Nicaragua Computer Licensed;deposit 4th Steel;https://dorothy.net;dynamic synthesizing;true;Handcrafted Guilder;bypassing navigating;48950;SCSI Applications;Corporate;Soft;false;redundant Applications Soft;true;false;true;true;Cotton collaborative;false;true;leverage;2022-09-26;Concrete Nauru Engineer;2022-09-27;index;true
