id;user_id;role_id
4926ff41-0d7a-4ece-a7b0-03ed5f88ae68;synthesizing Plains;HDD Borders Cyprus
c97fab72-f529-42fe-9ea6-09b99b0ff32d;transmitting;invoice
7ebe57bf-68e5-4226-ae2d-cdadffe36cf1;payment Money protocol;Sleek
4456b90d-d364-4ee0-addc-be8557e79ebe;Corporate Quality generate;Cambridgeshire withdrawal
52d693f4-ebdf-4bda-bc5e-dc3b695f0055;adapter Gloves;Future
cda0650a-e997-4a18-aeb4-7694d8e844f7;repurpose;AI deposit Rubber
edf98c78-344e-4e34-9c06-1821e390004c;Morocco;Incredible wireless Officer
dd123d64-2bc5-41ef-8032-52750e6567f7;payment;Account
6c030ff1-806e-4ce6-b125-e1c4a92b73c6;Computers turn-key;Cambridgeshire Money
ba9ebd25-6c94-4a48-b74b-57992bd89436;index Plastic;navigating
