id;parent_id;depart_name;depart_order;org_category;org_type;org_code;mobile;fax;address;memo;status;del_flag;create_by;create_time;update_by;update_time;tenant_id
f15ae3fa-2cfe-495c-b9e4-64440a6ee241;open-source;payment payment tangible;37833;SSL;Shoes deposit;bluetooth models;Cambridgeshire Credit Alaska;SCSI;People's Representative;definition;false;true;compress Courts;2022-09-26;Lead Uganda RSS;2022-09-26;Multi-layered Won Practical
d822044a-d33a-4060-a312-30e6616afb96;multi-byte monetize Rubber;Pants;75542;Cambridgeshire;Buckinghamshire;Unbranded maroon;Island deploy;circuit matrix;SCSI Buckinghamshire;paradigms Garden;true;true;Human Bedfordshire;2022-09-27;Concrete impactful Borders;2022-09-27;Berkshire 1080p
071aeb86-29e7-4c85-8f1e-f10b872ee4e6;Steel auxiliary withdrawal;Creative green;70024;B2C;application;Yuan Cotton;lime;Loan District;Legacy deliver e-tailers;Customer Shirt;false;true;Brooks Architect cyan;2022-09-26;Lead National Kina;2022-09-26;Portugal
bafab1be-52bf-4131-84c5-7429d3f2dad4;North;Strategist mindshare;16576;bleeding-edge;monitor Mayotte Manager;Iowa;Baby Generic;experiences modular;matrix iterate Specialist;Clothing database Plastic;true;false;Dollar paradigms;2022-09-26;South content Garden;2022-09-26;Steel Cotton
87d9c204-d585-4712-85ba-f6dd53b12f92;Dynamic Account e-tailers;Alaska harness Plains;83873;bluetooth alarm Maryland;hack innovate Tasty;yellow;Gorgeous;Table;bypassing;even-keeled;true;false;rich;2022-09-26;SMS Chicken;2022-09-26;Bedfordshire
c010a9b7-51c1-4e61-be16-601ac47039e5;Central Home Account;Lanka brand maroon;19565;Dynamic;markets Bedfordshire;solid;Steel;National;encompassing;extranet Web;false;false;Analyst;2022-09-26;Ramp;2022-09-26;Jewelery
53d2eedb-f8bb-4ec9-94a8-f6f97700c0a7;Luxembourg Factors visionary;compressing Minnesota Fish;51673;hacking Licensed Gateway;open-source Rubber GB;full-range;lime green;(Chagos Club;back-end synthesize Digitized;homogeneous optical azure;false;false;Developer vertical Avon;2022-09-26;Savings Balboa Mauritius;2022-09-27;transmitting
4e8949db-ab33-45ba-8af4-cb6780124a67;Bedfordshire card 24/7;Algeria;25315;data-warehouse ivory payment;payment;Myanmar Belarus;navigating Meadow;system EXE;payment lavender;cohesive back-end seamless;false;true;heuristic;2022-09-27;end-to-end Metal Fish;2022-09-26;maroon
80efcd11-aa60-453e-8f7c-ec36230f4b44;Assistant microchip;Strategist;40869;mint;Synchronised Soap PNG;enterprise open-source target;synthesize ADP intermediate;Park;front-end Credit Exclusive;object-oriented;true;false;Turkey;2022-09-26;Fish override;2022-09-26;International Jewelery viral
ed617845-603c-450b-aaee-90a3ec985272;encoding foreground Incredible;haptic Shoes;98941;Secured Idaho Baby;Assurance Korea USB;wireless;Clothing Towels Lead;Lanka payment Supervisor;input;SSL;true;false;Fresh Indiana;2022-09-26;Central Checking whiteboard;2022-09-26;Mali Tennessee EXE
