id;user_id;dep_id
c0cbef49-6e26-41ab-8529-51efffbede68;Orchestrator;sky Soft Infrastructure
26d52f7b-72ae-46c3-a9ae-7aa988895fe9;asymmetric;multimedia
b7b5fc97-3821-4059-8193-a776332bd223;next-generation;Toys
83e150a1-cd5d-4071-8da5-e890cf0d207a;Public-key Developer;Handmade initiative
bb00851f-9666-4f3b-8a63-37f7ebe9ff2c;function;Cambridgeshire cross-media withdrawal
f08ba41e-2f7f-4320-878e-731bfc76bcbd;Investor protocol Lead;auxiliary Loan Buckinghamshire
d062e7a8-fb8e-4668-8242-19bd4576a8a1;Fantastic;Ouguiya Palladium invoice
7d9da457-7e8c-40be-8a51-fe1aae245fb9;Administrator monitor Web;Incredible
aa1dd2d9-3dc8-4fdb-82ca-71b54bf4387d;Investor;e-business
c7e7a6cf-6354-4cd3-9093-aa8094a799b8;withdrawal;withdrawal
